NAME,GunOwnership2022
Alabama,55.5
Alaska,64.5
Arizona,46.3
Arkansas,57.2
California,28.3
Colorado,45.1
Connecticut,23.6
Delaware,34.4
Florida,35.3
Georgia,49.2
Hawaii,14.9
Idaho,60.1
Illinois,27.8
Indiana,44.8
Iowa,43.6
Kansas,48.9
Kentucky,54.6
Louisiana,53.1
Maine,46.8
Maryland,30.2
Massachusetts,14.7
Michigan,40.2
Minnesota,42.8
Mississippi,55.8
Missouri,48.8
Montana,66.3
Nebraska,45.2
Nevada,47.3
New Hampshire,41.1
New Jersey,14.7
New Mexico,46.2
New York,19.9
North Carolina,45.8
North Dakota,55.1
Ohio,40
Oklahoma,54.7
Oregon,50.8
Pennsylvania,40.7
Rhode Island,14.8
South Carolina,49.4
South Dakota,55.3
Tennessee,51.6
Texas,45.7
Utah,46.8
Vermont,50.5
Virginia,44.6
Washington,42.1
West Virginia,58.5
Wisconsin,45.3
Wyoming,66.2